mu_GeV,field_name,E_field_V_per_m,log_rate_standard,log_rate_liv,enhancement_factor,log_enhancement,observable_standard,observable_liv,exponential_enhancement,net_enhancement_db,model,coupling
1610262027560.9426,Schwinger,1.3228826430362076e+18,45.89328352489844,45.8932835248988,1.0000000000008216,3.5680116262456966e-13,True,True,False,3.5680116262456964e-12,polynomial,1.0
2592943797404.667,Lab Strong,10000000000000.0,-180453.96508939777,-180453.96508939777,1.0,0.0,False,False,False,0.0,polynomial,1.0
2592943797404.667,Lab Extreme,1000000000000000.0,-1763.8951798242688,-1763.8951798242688,1.0000000000000004,1.9286549331065737e-16,False,False,False,1.928654933106574e-15,polynomial,1.0
2592943797404.667,NS Surface,1000000000000.0,-1804874.7824491567,-1804874.7824491567,1.0,0.0,False,False,False,0.0,polynomial,1.0
2592943797404.667,NS Magnetosphere,1000000000000000.0,-1763.8951798242688,-1763.8951798242688,1.0000000000000004,1.9286549331065737e-16,False,False,False,1.928654933106574e-15,polynomial,1.0
2592943797404.667,Schwinger,1.3228826430362076e+18,45.89328352489844,45.89328352489866,1.0000000000005103,2.2160245181388885e-13,True,True,False,2.2160245181388885e-12,polynomial,1.0
4175318936560.4087,Lab Strong,10000000000000.0,-180453.96508939777,-180453.96508939777,1.0,0.0,False,False,False,0.0,polynomial,1.0
4175318936560.4087,Lab Extreme,1000000000000000.0,-1763.8951798242688,-1763.8951798242688,1.0000000000000002,9.64327466553287e-17,False,False,False,9.64327466553287e-16,polynomial,1.0
4175318936560.4087,NS Surface,1000000000000.0,-1804874.7824491567,-1804874.7824491567,1.0,0.0,False,False,False,0.0,polynomial,1.0
4175318936560.4087,NS Magnetosphere,1000000000000000.0,-1763.8951798242688,-1763.8951798242688,1.0000000000000002,9.64327466553287e-17,False,False,False,9.64327466553287e-16,polynomial,1.0
4175318936560.4087,Schwinger,1.3228826430362076e+18,45.89328352489844,45.89328352489858,1.0000000000003169,1.3760952947713227e-13,True,True,False,1.3760952947713226e-12,polynomial,1.0
6723357536499.335,Lab Strong,10000000000000.0,-180453.96508939777,-180453.96508939777,1.0,0.0,False,False,False,0.0,polynomial,1.0
6723357536499.335,Lab Extreme,1000000000000000.0,-1763.8951798242688,-1763.8951798242688,1.0000000000000002,9.64327466553287e-17,False,False,False,9.64327466553287e-16,polynomial,1.0
6723357536499.335,NS Surface,1000000000000.0,-1804874.7824491567,-1804874.7824491567,1.0,0.0,False,False,False,0.0,polynomial,1.0
6723357536499.335,NS Magnetosphere,1000000000000000.0,-1763.8951798242688,-1763.8951798242688,1.0000000000000002,9.64327466553287e-17,False,False,False,9.64327466553287e-16,polynomial,1.0
6723357536499.335,Schwinger,1.3228826430362076e+18,45.89328352489844,45.89328352489853,1.0000000000001967,8.543941353661283e-14,True,True,False,8.543941353661284e-13,polynomial,1.0
10826367338740.562,Lab Strong,10000000000000.0,-180453.96508939777,-180453.96508939777,1.0,0.0,False,False,False,0.0,polynomial,1.0
10826367338740.562,Lab Extreme,1000000000000000.0,-1763.8951798242688,-1763.8951798242688,1.0,0.0,False,False,False,0.0,polynomial,1.0
10826367338740.562,NS Surface,1000000000000.0,-1804874.7824491567,-1804874.7824491567,1.0,0.0,False,False,False,0.0,polynomial,1.0
10826367338740.562,NS Magnetosphere,1000000000000000.0,-1763.8951798242688,-1763.8951798242688,1.0,0.0,False,False,False,0.0,polynomial,1.0
